name,urls,exodus_link
Pilgrim by Foursquare,sdk.foursquare.com,https://reports.exodus-privacy.eu.org/en/trackers/181/
PingStart,api.pingstart.com,https://reports.exodus-privacy.eu.org/en/trackers/261/
PredicIO,sdk.predic.io,https://reports.exodus-privacy.eu.org/en/trackers/357/
PubMatic,"ads.pubmatic.com, aktrack.pubmatic.com, gads.pubmatic.com, image2.pubmatic.com, simage2.pubmatic.com",https://reports.exodus-privacy.eu.org/en/trackers/236/
PubNative,pubnative.net,https://reports.exodus-privacy.eu.org/en/trackers/183/
PushSpring,api.pushspring.com,https://reports.exodus-privacy.eu.org/en/trackers/286/
Pushwoosh,pushwoosh.com,https://reports.exodus-privacy.eu.org/en/trackers/39/
Pyze,pyze.com,https://reports.exodus-privacy.eu.org/en/trackers/287/
Qualtrics,qualtrics.com,https://reports.exodus-privacy.eu.org/en/trackers/306/
Quantcast,"quantcast.com, quantcast.net",https://reports.exodus-privacy.eu.org/en/trackers/133/
Radius Networks,proximitykit.radiusnetworks.com,https://reports.exodus-privacy.eu.org/en/trackers/94/
Roximity,app.roximity.com,https://reports.exodus-privacy.eu.org/en/trackers/289/
Rubicon Project,"ads.rubiconproject.com, fastlane.rubiconproject.com, optimized-by.rubiconproject.com, pixel.rubiconproject.com, stats.aws.rubiconproject.com, tap2-cdn.rubiconproject.com, video-ads.rubiconproject.com",https://reports.exodus-privacy.eu.org/en/trackers/145/
S4M,"s4m.io, sam4m.com",https://reports.exodus-privacy.eu.org/en/trackers/20/
SAP CDC (Gigya),"cdn1.gigya.com, cdn2.gigya.com, cdn3.gigya.com, cdn.gigya.com, cdns.us1.gigya.com, david.gigya-cs.com",https://reports.exodus-privacy.eu.org/en/trackers/148/
Salesforce Marketing Cloud,com.salesforce.marketingcloud,https://reports.exodus-privacy.eu.org/en/trackers/220/
Scandit,scandit.com,https://reports.exodus-privacy.eu.org/en/trackers/84/
Schibsted,"schibsted.com, schibsted.io",https://reports.exodus-privacy.eu.org/en/trackers/30/
Segment,"api.segment.io, segment.com",https://reports.exodus-privacy.eu.org/en/trackers/62/
Sense360,"android-quinoa-config-prod.sense360eng.com, incoming-data-sense360.s3.amazonaws.com, quinoa-personal-identify-prod.sense360eng.com",https://reports.exodus-privacy.eu.org/en/trackers/144/
Sentiance,api.sentiance.com,https://reports.exodus-privacy.eu.org/en/trackers/290/
Shopkick,"shopkick.com, shopkick.de, sdk.shopkick.com",https://reports.exodus-privacy.eu.org/en/trackers/81/
Signal360,"signal360.com, sonicnotify.com",https://reports.exodus-privacy.eu.org/en/trackers/86/
SilverPush,"silverpush.co, silverpush.com",https://reports.exodus-privacy.eu.org/en/trackers/80/
Singlespot,singlespot.com,https://reports.exodus-privacy.eu.org/en/trackers/142/
Sizmek,serving-sys.com,https://reports.exodus-privacy.eu.org/en/trackers/22/
Smaato,"soma.smaato.net, smaato.net",https://reports.exodus-privacy.eu.org/en/trackers/83/
Smart,"adsrvr.org, akamai.smartadserver.com, cdn1.smartadserver.com, diff2.smartadserver.com, diff3.smartadserver.com, diff.smartadserver.com, eqx.smartadserver.com, gallery.smartadserver.com, im2.smartadserver.com, insight.adsrvr.org, itx5-publicidad.smartadserver.com, itx5.smartadserver.com, js.adsrvr.org, match.adsrvr.org, preview.smartadserver.com, rtb-csync.smartadserver.com, saspreview.com, smartadserver.com, smartadserver.ru, tmk.smartadserver.com, usw-lax.adsrvr.org",https://reports.exodus-privacy.eu.org/en/trackers/7/
SmartLook,smartlook.com,https://reports.exodus-privacy.eu.org/en/trackers/291/
Snowplow,xxx.com,https://reports.exodus-privacy.eu.org/en/trackers/108/
Soomla,soom.la,https://reports.exodus-privacy.eu.org/en/trackers/164/
Split,"event.split.io, sdk.split.io",https://reports.exodus-privacy.eu.org/en/trackers/349/
Square Metrics,api.beaconinside.com,https://reports.exodus-privacy.eu.org/en/trackers/292/
